央视频道,#genre#
CCTV-17 农业农村,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225907/index.m3u8
CCTV-4K 超高清,https://epg.pw/stream/0377d2231e58602e9c86cb280180d88e5967374c213b621919ef238314adb987.ctv#http://159.75.85.63:5679/cctv4k.php
CCTV-4K 超高清,https://epg.pw/stream/93ef6a3fd6fe0f7641a254fcceb3ece5f73798095651d460c1e81658700cff38.ctv
CCTV-风云剧场,https://epg.pw/stream/bd2b5ebf9fb3da73d2ae35a7d88d00851a483c36b6cd69a2635706c52853e047.m3u8
CCTV-风云剧场,https://epg.pw/stream/bd2b5ebf9fb3da73d2ae35a7d88d00851a483c36b6cd69a2635706c52853e047.m3u8
CCTV-风云足球,https://epg.pw/stream/e4b1408fbcbd18d1779d861b87cda122d56a99b67147c8532a1f213cd87ff6a4.m3u8
CCTV-风云足球,https://epg.pw/stream/e4b1408fbcbd18d1779d861b87cda122d56a99b67147c8532a1f213cd87ff6a4.m3u8
CCTV-风云音乐,https://epg.pw/stream/e4a252d4d82c213c7d39bf761915b5238ebc009db692b1d096b93baab5ff52e1.m3u8
CCTV-风云音乐,https://epg.pw/stream/e4a252d4d82c213c7d39bf761915b5238ebc009db692b1d096b93baab5ff52e1.m3u8
CCTV-第一剧场,https://epg.pw/stream/68e220ee9c4a6c0271d41f3589d88c6663e0011236b86bf96ba56e9df0f545ec.m3u8
CCTV-第一剧场,https://epg.pw/stream/68e220ee9c4a6c0271d41f3589d88c6663e0011236b86bf96ba56e9df0f545ec.m3u8
CCTV-怀旧剧场,https://epg.pw/stream/bd2b5ebf9fb3da73d2ae35a7d88d00851a483c36b6cd69a2635706c52853e047.m3u8
CCTV-怀旧剧场,https://epg.pw/stream/bd2b5ebf9fb3da73d2ae35a7d88d00851a483c36b6cd69a2635706c52853e047.m3u8
CCTV-女性时尚,https://epg.pw/stream/d5a0004b3d67563d3746d95669e556fba572a62ab60d7b7e7e7b7a1a540f906f.m3u8
CCTV-女性时尚,https://epg.pw/stream/d5a0004b3d67563d3746d95669e556fba572a62ab60d7b7e7e7b7a1a540f906f.m3u8
CCTV-世界地理,https://epg.pw/stream/2b5afde1f6e8bfb4299466adc88b2cec2381431d50131724f45ab7420c458fda.m3u8
CCTV-世界地理,https://epg.pw/stream/2b5afde1f6e8bfb4299466adc88b2cec2381431d50131724f45ab7420c458fda.m3u8
CCTV-央视文化精品,https://epg.pw/stream/7abdcc231569431e7b3de4de360dfd05aad143976139320bdc7d3d01c657e1be.m3u8
CCTV-央视文化精品,https://epg.pw/stream/7abdcc231569431e7b3de4de360dfd05aad143976139320bdc7d3d01c657e1be.m3u8
CCTV-央视台球,https://epg.pw/stream/d1c9c4e5246a4513add9530f7fd6c58ac21837349407aaeda5d3fa0eb628b187.m3u8
CCTV-央视台球,https://epg.pw/stream/d1c9c4e5246a4513add9530f7fd6c58ac21837349407aaeda5d3fa0eb628b187.m3u8
CCTV-电视指南,https://epg.pw/stream/2daf0af1c3bc91b809345469d08587f675289eddf3baa9478973898d3d09d012.m3u8
CCTV-电视指南,https://epg.pw/stream/2daf0af1c3bc91b809345469d08587f675289eddf3baa9478973898d3d09d012.m3u8
CCTV-兵器科技,https://epg.pw/stream/8dfdc66e933413a46cba984f25b036690aa0fe4665015d21a6818345c6523ceb.m3u8
CCTV-兵器科技,https://epg.pw/stream/8dfdc66e933413a46cba984f25b036690aa0fe4665015d21a6818345c6523ceb.m3u8
